ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
11;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 409";"121552, г.Москва, ул. Оршанская, д. 12, корп. 1";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 141-65-56";"dskv409.mskzapad.ru";"gou409@yandex.ru";"37,40747";"55,742812";"86660739";
12;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 445";"121351, г.Москва, ул. Молодогвардейская, д. 34, корп. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 141-41-05; (499) 140-16-10";"dskv445.mskzapad.ru";"dou445@mail.ru";"37,417671";"55,735789";"86660740";
13;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 531";"119297 г.Москва, ул. Родниковая, д. 10, корп. 1";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"435-08-80";"dskv531.mskzapad.ru";"GOU531@yandex.ru";"37,378763";"55,637488";"86660741";
14;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 582";"119501, г.Москвы, ул. Веерная, д. 34, корп. 1";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"441-10-61";"dskv582.mskzapad.ru";"detsad582@yandex.ru";"37,482806";"55,711769";"86660742";
15;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 657";"121354, г.Москва, ул. Кубинка, д. 20, кор. 2";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"447-36-16";"ds657.mskzapad.ru";"dou657@mail.ru";"37,409762";"55,72381";"86660743";
16;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 659";"121108 г. Москва, ул. Герасима Курина, д.18, к.1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 144-17-89";"ds659.mskzapad.ru";"dou659@mail.ru";"37,469441";"55,731677";"86660744";
17;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 666";"119501, г.Москва, ул. Матвеевская, д. 4, корп. 3";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 441-90-37; (495) 441-90-88; (495) 441-04-75";"ds666.mskzapad.ru";"detsad666@mail.ru";"37,474015";"55,705604";"86660745";
18;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 675";"119571, г.Москва, ул. 26 Бакинских комиссаров, д. 3, корп. 2";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"433-87-01";"dskv675.mskzapad.ru";"SAD-675@yandex.ru";"37,489804";"55,65633";"86660746";
19;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 685";"121467, г.Москва, ул. Молдавская, д. 10";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 141-10-72";"ds685.mskzapad.ru";"dou685@mail.ru";"37,437239";"55,731662";"86660747";
20;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 719";"119571, г.Москва, пр-т Вернадского, д. 115";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 433-51-05; (495) 434-13-39";"ds719.mskzapad.ru";"dou719@mail.ru";"37,484222";"55,658957";"86660748";
21;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 786";"121165, г.Москва, Кутузовский проспект, д. 30";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 249-37-56";"ds786.mskzapad.ru";"ds786@mail.ru";"37,536599";"55,742177";"86660749";
22;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 797";"119136, г.Москва, 2-й Сетуньский проезд,  д. 12, корп. 1";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 240-84-20";"dskv797.mskzapad.ru";"dou797@mail.ru";"37,535916";"55,731335";"86660750";
23;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 798";"119517, г.Москва, ул. Нежинская, д. 17, корп. 1";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 441-90-77; (495) 441-95-75";"ds798.mskzapad.ru";"sad798@rambler.ru";"37,467934";"55,707344";"86660751";
24;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 803";"121354, г.Москва, Можайское шоссе, д. 38, корп. 5";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 446-06-68";"www.ds803.mskzapad.ru";"sad803@mail.ru";"37,411257";"55,719081";"86660752";
25;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 805";"119285 г.Москва, 2-й Мосфильмовский переулок, д. 22-А";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 143-84-07; (499) 143-02-86";"ds805.mskzapad.ru";"downwikak-72@mail.ru";"37,522858";"55,72831";"86660753";
26;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 806";"119501 г.Москва, ул. Веерная, дом 20, корпус 2";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 441-34-11";"ds806.mskzapad.ru";"dou806@yandex.ru";"37,48408";"55,710115";"86660754";
27;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 810";"121552 г. Москва, ул. Ельнинская, д. 7, корп. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 141-72-23";"dskv810.mskzapad.ru";"sad_810@mail.ru";"37,420961";"55,736532";"86660755";
28;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 815";"119526, г.Москва, ул. 26 Бакинских комиссаров, д. 2, корп. 3";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"434-50-34";"dskvp815.mskzapad.ru";"doy815@mail.ru";"37,496692";"55,658251";"86660756";
29;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 818";"119192,г. Москва, ул. Винницкая, д. 5А";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"931-42-18";"dsovp818.mskzapad.ru";"gou818@mail.ru";"37,494234";"55,697054";"86660757";
30;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 819";"119501, г.Москва, ул. Веерная, д. 34, корп. 3";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 441-93-91";"dskv819.mskzapad.ru";"www.dou819@yandex.ru";"37,484085";"55,711405";"86660758";
31;"Государственное бюджетное образовательное учреждение города Москвы детский сад  компенсирующего вида № 823";"121467, г.Москва, ул. Ельнинская, д.12, корп. 3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"(499) 141-75-88";"dskvp823.mskzapad.ru";"zrenie823@mail.ru";"37,4269";"55,738547";"86660759";
32;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 824";"121615, г.Москва, ул. Ельнинская, д. 16";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 141-75-87; (499) 141-81-61";"ds824.mskzapad.ru";"dou824@bk.ru";"37,424053";"55,738664";"86660760";
33;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 826";"121353, г. Москва, ул. Беловежская, д. 51";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 446-33-72; (495) 447-24-54";"ds826.mskzapad.ru";"826@inbox.ru";"37,39804";"55,709893";"86660761";
34;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 827";"121351 г.Москва, ул. Ярцевская, д. 11, корпус 4";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 141-04-00";"dskv827.mskzapad.ru";"D-S827@yandex.ru";"37,40533";"55,737456";"86660762";
35;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 863";"119517, г.Москва, ул. Нежинская, д. 8";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"442-90-23";"ds863.mskzapad.ru";"olsor@mail.ru";"37,562643";"55,812006";"86660763";
36;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 892";"119526, г.Москва, Проспект Вернадского, д. 99, корп. 2";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"434-66-36";"ds892.mskzapad.ru";"douds892@mail.ru";"37,491222";"55,665467";"86660764";
37;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 944";"121596, г.Москва, ул. Барвихинская, д. 12";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"448-92-35";"ds944.mskzapad.ru";"sad944@mail.ru";"37,389011";"55,717381";"86660765";
38;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 969";"119526, г.Москва, ул. 26 Бакинских комиссаров, д. 6, корп. 3";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 434-13-29; (495) 433-40-83";"ds969.mskzapad.ru";"dou969@mail.ru";"37,493257";"55,660143";"86660766";
39;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 985";"121087, г.Москва, ул.Тучковская, д. 5";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"148-54-09";"dskvp985.mskzapad.ru";"dsfili985@mail.ru";"37,511848";"55,747569";"86660767";
40;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1023";"119361, г.Москва, ул. Озерная, д. 29, корп. 2";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 437-52-23";"ds1023.mskzapad.ru";"dou1023@mail.ru";"37,452549";"55,673192";"86660768";
41;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1025";"121596, г.Москва, ул. Барвихинская, д. 14";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"448-87-35";"ds1025.mskzapad.ru";"ds1025@mail.ru";"37,388505";"55,718352";"86660769";
42;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №1252";"119602 г. Москва, Олимпийская дер., Мичуринский пр., д.8/2";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 437-59-32";"dskv1252.mskzapad.ru";"dou1252@mail.ru";"37,467609";"55,673199";"86660770";
43;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1269";"119361, г.Москва, ул.Озерная, д. 25 А";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"437-31-81";"dskv1269.mskobr.ru";"DS1269@yandex.ru";"37,454204";"55,675424";"86660771";
44;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1284";"121374, г.Москва, ул. Ращупкина, д. 5, корп. 2";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 440-11-00; (495) 440-28-15";"ds1284.mskzapad.ru";"dc1284@rambler.ru";"37,44108";"55,724235";"86660772";
45;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1297";"119602, г. Москва, Мичуринский проспект, Олимпийская деревня, д.20, корп. 2";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"735-66-08";"ds1297.mskzapad.ru";"goy1297@mail.ru";"37,462446";"55,670299";"86660773";
46;"Государственное бюджетное образовательное учреждение города Москвы детский сад  компенсирующего вида № 1298";"121552 г.Москва, ул. Рублевское шоссе, д. 115";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"(499) 140-35-73";"dskvp1298.mskobr.ru";"gou1298@mail.ru";"37,41423";"55,746643";"86660774";
47;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1326";"119297, г.Москва, ул. Родниковая, д. 16, корп. 1";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"435-14-87";"dsovp1326.mskobr.ru";"detsad1326@mail.ru";"37,382772";"55,635322";"86660775";
48;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1366";"119192 г. Москва, ул. Винницкая, д. 17, корпус 1";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"931-53-55";"ds1366.mskobr.ru";"det1366@yandex.ru";"37,489106";"55,698033";"86660776";
49;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1367";"119602 г.Москва, ул. Академика Анохина, д. 40, корп. 1";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 430-98-75";"";"dou1367@mail.ru";"37,470179";"55,657428";"86660777";
50;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1382";"119607, г.Москва, ул.Лобачевского, д. 96, корп. 1";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 931-41-00; (495) 931-56-18; (495) 931-56-22";"ds1382.mskzapad.ru";"ds1382@yandex.ru";"37,484049";"55,68387";"86660778";
51;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1412";"119602, г.Москва, ул. Академика Анохина, д . 28, корп. 2";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"437-72-34";"ds1412.mskzapad.ru";"dou1412@mail.ru";"37,470901";"55,659981";"86660779";
52;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1428";"119620, г.Москва, ул.Академика Анохина, д. 12, корп. 5";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"430-07-38";"dskv1428.mskzapad.ru";"dou1428@mail.ru";"37,468299";"55,667786";"86660780";
53;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1430";"119607, г. Москва, ул. Удальцова, д. 87";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"932-43-00";"dskv1430.mskzapad.ru";"dou1430@mail.ru";"37,487041";"55,685556";"86660781";
54;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1463";"119330, г.Москва, ул. Мосфильмовская, д. 17 А";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 143-03-03";"";"down1463@mail.ru";"37,517251";"55,715138";"86660782";
55;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1470";"121351, г.Москва, ул. Ивана Франко, д. 40, корп. 3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"417-33-15";"ds1470.mskobr.ru";"gou1470@yandex.ru";"37,408766";"55,729493";"86660783";
56;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1478";"121609, г.Москва, ул. Крылатские холмы, д. 25, корп. 2";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"(499) 412-23-24";"ds1478.mskzapad.ru";"dou1478@mail.ru";"37,414342";"55,757522";"86660784";
57;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1511";"г. Москва, Осенний бульвар, д.16, корп.3";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"415-56-96";"crrds1511.mskzapad.ru";"detsad1511@yandex.ru";"37,412211";"55,76035";"86660785";
58;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1515";"121614, г.Москва, Осенний бульвар, д. 16, корп. 4";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"413-97-56";"crrds1515.mskobr.ru";"";"37,413912";"55,760416";"86660786";
59;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1565";"119607 г. Москва, ул. Раменки, д.13, корп.2";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 931-04-12; (495) 932-04-44; (495) 931-16-85; (495) 932-71-11; (495) 932-67-00; (495) 932-84-85";"dskv1565.mskzapad.ru";"gou1565@yandex.ru";"37,497607";"55,690542";"86660787";
60;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1566";"121609, г.Москва, ул. Крылатские холмы, д. 19";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"412-94-14";"ds1566.mskzapad.ru";"dou1566@mail.ru";"37,411851";"55,753261";"86660788";
61;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1590";"121596, г.Москва,ул. Запорожская, д. 8, корп. 2";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 448-55-45";"ds1590.mskzapad.ru";"detsad1590@rambler.ru";"37,402923";"55,723359";"86660789";
62;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1605";"121609, г.Москва, ул. Крылатские холмы, д. 9";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"413-56-25";"ds1605.mskobr.ru";"dou1605@mail.ru";"37,421749";"55,749107";"86660790";
63;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1623";"119607, г. Москва, ул. Раменки, д. 13, корп. 3";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"932-28-21";"http://dskv1623.mskzapad.ru/";"detsad1623@mail.ru";"37,496129";"55,689705";"86660791";
64;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1641";"121614, г.Москва, ул. Крылатские холмы, д. 30, корп. 6";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(495) 413-37-05";"dsovp1641new.mskzapad.ru";"kindergaten-1641@yandex.ru";"37,413517";"55,769175";"86660792";
65;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1649";"121351, г.Москва, ул. Кунцевская, д. 7, корп. 3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"417-20-45";"ds1649.mskobr.ru";"dou1649@mail.ru";"37,420402";"55,729337";"86660793";
66;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1650";"121351 г.Москва, ул. Партизанская, д. 9, корп. 3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 416-62-81; (495) 416-94-74";"ds1650.mskzapad.ru";"ds1650@mail.ru";"37,408711";"55,730181";"86660794";
